location,area
"""SHWAPNO, RESIDENTIAL AREA, DHANMONDI 27""",Dhanmondi
"""LAKE SIDE, 31, ROAD 28 (NEW 15), DHANMONDI R/A""",Dhanmondi
"""RAMNA PS, SAHID CAPTEN MUNSUR ALI AVENUE, WIRELESS, PALTAN""",Paltan
"""PHARMACY, RD 9, MIRPUR DOHS""",Mirpur
"""H 848, RD 19, BLOCK G, BASHUNDHARA R/A""",Bashundhara
"""BASHUNDHARA PURBACHAL LINK RD, BLOCK J, BASHUNDHARA R/A""",Bashundhara
"""KALACHANDPUR MAIN ROAD, BARIDHARA, GULSHAN""",Gulshan
"""GLORIA JEANS COFFEE, ROAD 71, GULSHAN 2""",Gulshan
"""ROAD 20, KOTBARI BAZAAR, SECTOR 7""",Uttara
"""HONGKONG SHANGHAI TOWER, H108, RD 11, BANANI""",Banani
"""SHANGHAI CHINESE CAFE, RD 11, BANANI""",Banani
"""469, ROAD NO. 7, BASHUNDHARA R/A""",Bashundhara
"""ABDUS SATTAR, 28, SECTION 2""",Mirpur
"""OBSTERICAL & GYNAECOLOGICAL SOCIETY OF BANGLADESH HOSPITAL (OGSB HOSPITAL), SECTION 13, MIRPUR""",Mirpur
"""BISHMILLAH, 06, ROAD 1, BLOCK D, BASHUNDHARA R/A""",Bashundhara
"""MALIHA APARTMENTS, PLOT 24, SENPARA PARBATA, MIRPUR 10""",Mirpur
